id_student,final_result,target_lulus,avg_score_early,Prediksi_Lulus,Probabilitas_Lulus,Hasil_Prediksi,Hasil_Aktual
682391,Fail,0,96.0,1,0.80621415,LULUS (1),GAGAL/MUNDUR (0)
633060,Pass,1,0.0,0,0.45648,GAGAL/MUNDUR (0),LULUS (1)
560067,Fail,0,100.0,1,0.8302643,LULUS (1),GAGAL/MUNDUR (0)
651659,Pass,1,1.0,1,0.6287195,LULUS (1),LULUS (1)
625841,Fail,0,0.0,1,0.6130809,LULUS (1),GAGAL/MUNDUR (0)
1879321,Distinction,1,95.33333333333333,1,0.92987245,LULUS (1),LULUS (1)
297179,Pass,1,34.0,0,0.26662585,GAGAL/MUNDUR (0),LULUS (1)
685287,Pass,1,89.0,1,0.8362845,LULUS (1),LULUS (1)
675629,Fail,0,0.0,0,0.05113249,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
544859,Fail,0,50.0,0,0.33884084,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
683352,Pass,1,78.0,0,0.445615,GAGAL/MUNDUR (0),LULUS (1)
625782,Pass,1,60.0,0,0.49161842,GAGAL/MUNDUR (0),LULUS (1)
608884,Pass,1,0.0,0,0.35880902,GAGAL/MUNDUR (0),LULUS (1)
543785,Withdrawn,0,94.0,1,0.8014942,LULUS (1),GAGAL/MUNDUR (0)
628386,Pass,1,69.0,0,0.47135505,GAGAL/MUNDUR (0),LULUS (1)
604498,Pass,1,0.0,0,0.08539238,GAGAL/MUNDUR (0),LULUS (1)
518709,Withdrawn,0,0.0,0,0.24613845,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
643758,Pass,1,58.0,1,0.52509415,LULUS (1),LULUS (1)
599434,Fail,0,73.0,0,0.4677959,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
1951727,Pass,1,91.0,1,0.8724489,LULUS (1),LULUS (1)
598989,Pass,1,85.0,1,0.7493582,LULUS (1),LULUS (1)
2620178,Distinction,1,87.0,1,0.7077039,LULUS (1),LULUS (1)
566300,Pass,1,80.0,0,0.47245103,GAGAL/MUNDUR (0),LULUS (1)
425274,Pass,1,0.0,0,0.26640525,GAGAL/MUNDUR (0),LULUS (1)
526948,Withdrawn,0,0.0,0,0.052343898,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
2649121,Withdrawn,0,0.0,0,0.11656767,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
536261,Pass,1,83.0,1,0.58569527,LULUS (1),LULUS (1)
2239140,Fail,0,65.0,1,0.6783819,LULUS (1),GAGAL/MUNDUR (0)
186780,Withdrawn,0,0.0,0,0.22709145,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
243926,Fail,0,0.0,1,0.52651787,LULUS (1),GAGAL/MUNDUR (0)
571871,Pass,1,69.0,1,0.6084029,LULUS (1),LULUS (1)
511271,Fail,0,0.0,0,0.14888619,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
632558,Fail,0,0.0,1,0.51378196,LULUS (1),GAGAL/MUNDUR (0)
123957,Withdrawn,0,59.4,0,0.2925715,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
410886,Pass,1,68.33333333333333,1,0.5675945,LULUS (1),LULUS (1)
469614,Pass,1,34.5,0,0.2126501,GAGAL/MUNDUR (0),LULUS (1)
610622,Withdrawn,0,37.5,0,0.18141143,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
587783,Pass,1,89.2,1,0.8023467,LULUS (1),LULUS (1)
614265,Withdrawn,0,75.5,1,0.55091,LULUS (1),GAGAL/MUNDUR (0)
413891,Fail,0,0.0,0,0.29924405,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
516281,Fail,0,64.5,1,0.50726223,LULUS (1),GAGAL/MUNDUR (0)
687112,Pass,1,74.0,0,0.4681435,GAGAL/MUNDUR (0),LULUS (1)
623651,Withdrawn,0,0.0,0,0.03724438,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
575794,Withdrawn,0,0.0,0,0.038636807,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
551557,Pass,1,94.5,1,0.8007959,LULUS (1),LULUS (1)
643644,Fail,0,0.0,0,0.16988884,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
576515,Pass,1,65.0,1,0.63574785,LULUS (1),LULUS (1)
268153,Pass,1,70.0,1,0.58141255,LULUS (1),LULUS (1)
1644647,Distinction,1,94.0,1,0.8250104,LULUS (1),LULUS (1)
2520539,Pass,1,74.0,1,0.7034097,LULUS (1),LULUS (1)
647102,Distinction,1,0.0,1,0.5168366,LULUS (1),LULUS (1)
607547,Pass,1,0.0,0,0.43413773,GAGAL/MUNDUR (0),LULUS (1)
616557,Withdrawn,0,0.0,0,0.018876327,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
605916,Pass,1,73.0,1,0.745957,LULUS (1),LULUS (1)
602398,Fail,0,60.0,1,0.5092835,LULUS (1),GAGAL/MUNDUR (0)
539142,Fail,0,43.0,0,0.16893649,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
595593,Fail,0,40.0,0,0.23835368,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
581135,Pass,1,92.0,1,0.87857795,LULUS (1),LULUS (1)
2605030,Withdrawn,0,0.0,0,0.14181888,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
677221,Distinction,1,88.0,1,0.79162127,LULUS (1),LULUS (1)
634246,Pass,1,53.0,0,0.36306083,GAGAL/MUNDUR (0),LULUS (1)
632836,Distinction,1,86.0,1,0.65754807,LULUS (1),LULUS (1)
627307,Withdrawn,0,90.0,1,0.88150704,LULUS (1),GAGAL/MUNDUR (0)
601505,Fail,0,67.0,1,0.50978476,LULUS (1),GAGAL/MUNDUR (0)
58731,Pass,1,0.0,0,0.22296965,GAGAL/MUNDUR (0),LULUS (1)
2426864,Pass,1,1.0,1,0.51901,LULUS (1),LULUS (1)
311474,Withdrawn,0,0.0,0,0.32224882,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
572396,Pass,1,95.0,1,0.89907974,LULUS (1),LULUS (1)
1891028,Fail,0,1.0,1,0.6249848,LULUS (1),GAGAL/MUNDUR (0)
117435,Withdrawn,0,65.4,0,0.31490043,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
351767,Withdrawn,0,0.0,0,0.05730236,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
592338,Pass,1,83.5,1,0.73851323,LULUS (1),LULUS (1)
534998,Pass,1,65.0,1,0.5708148,LULUS (1),LULUS (1)
592658,Withdrawn,0,0.0,0,0.025253056,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
1612600,Pass,1,86.5,1,0.78694373,LULUS (1),LULUS (1)
423871,Pass,1,80.0,1,0.8004501,LULUS (1),LULUS (1)
588128,Pass,1,75.0,1,0.6288194,LULUS (1),LULUS (1)
577212,Fail,0,60.0,0,0.21430466,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
533198,Withdrawn,0,67.75,0,0.3774173,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
513687,Pass,1,74.33333333333333,1,0.73147815,LULUS (1),LULUS (1)
2657913,Pass,1,69.0,0,0.4398222,GAGAL/MUNDUR (0),LULUS (1)
328476,Pass,1,80.0,0,0.42044416,GAGAL/MUNDUR (0),LULUS (1)
550272,Pass,1,82.0,1,0.6142831,LULUS (1),LULUS (1)
577352,Fail,0,0.0,0,0.026634866,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
165421,Fail,0,66.5,0,0.40670943,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
578710,Pass,1,100.0,1,0.6469967,LULUS (1),LULUS (1)
607702,Fail,0,70.0,0,0.28123313,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
587538,Distinction,1,91.0,1,0.6649061,LULUS (1),LULUS (1)
52014,Fail,0,67.0,0,0.40466076,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
644975,Withdrawn,0,0.0,0,0.05113249,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
622029,Withdrawn,0,0.0,0,0.23143114,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
498828,Pass,1,88.0,1,0.8389285,LULUS (1),LULUS (1)
2242290,Fail,0,74.0,1,0.67972773,LULUS (1),GAGAL/MUNDUR (0)
593657,Distinction,1,90.66666666666667,1,0.8335444,LULUS (1),LULUS (1)
253567,Fail,0,0.0,0,0.24787346,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
622413,Pass,1,34.5,0,0.21878415,GAGAL/MUNDUR (0),LULUS (1)
2035700,Pass,1,76.0,1,0.59385717,LULUS (1),LULUS (1)
680414,Fail,0,60.0,1,0.54746217,LULUS (1),GAGAL/MUNDUR (0)
60135,Pass,1,66.5,1,0.62751436,LULUS (1),LULUS (1)
587810,Pass,1,77.0,1,0.56867045,LULUS (1),LULUS (1)
305974,Withdrawn,0,0.0,0,0.026232947,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
520711,Fail,0,66.0,1,0.52605855,LULUS (1),GAGAL/MUNDUR (0)
631681,Pass,1,50.0,0,0.3105871,GAGAL/MUNDUR (0),LULUS (1)
2650282,Pass,1,83.0,1,0.6524722,LULUS (1),LULUS (1)
564450,Fail,0,64.0,0,0.2936765,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
283131,Fail,0,71.0,1,0.5217825,LULUS (1),GAGAL/MUNDUR (0)
612561,Withdrawn,0,0.0,0,0.048543137,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
524496,Withdrawn,0,0.0,0,0.33571887,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
601275,Fail,0,0.0,0,0.1521076,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
646413,Pass,1,78.0,0,0.4166756,GAGAL/MUNDUR (0),LULUS (1)
335018,Withdrawn,0,75.0,0,0.41873613,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
89895,Pass,1,80.5,1,0.6673561,LULUS (1),LULUS (1)
151917,Pass,1,90.0,1,0.7286039,LULUS (1),LULUS (1)
407428,Fail,0,0.0,0,0.28427264,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
192680,Pass,1,84.0,1,0.61814576,LULUS (1),LULUS (1)
633403,Fail,0,90.0,1,0.6238229,LULUS (1),GAGAL/MUNDUR (0)
486279,Distinction,1,0.0,0,0.14750639,GAGAL/MUNDUR (0),LULUS (1)
602696,Distinction,1,100.0,1,0.67981505,LULUS (1),LULUS (1)
634027,Pass,1,0.0,0,0.13167526,GAGAL/MUNDUR (0),LULUS (1)
2054019,Pass,1,80.0,0,0.38033706,GAGAL/MUNDUR (0),LULUS (1)
386180,Pass,1,0.0,0,0.46235263,GAGAL/MUNDUR (0),LULUS (1)
396210,Pass,1,80.0,0,0.44973123,GAGAL/MUNDUR (0),LULUS (1)
635890,Fail,0,100.0,1,0.79643387,LULUS (1),GAGAL/MUNDUR (0)
160720,Withdrawn,0,0.0,0,0.056179836,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
228703,Pass,1,90.33333333333333,1,0.85518926,LULUS (1),LULUS (1)
438323,Pass,1,85.5,1,0.72143734,LULUS (1),LULUS (1)
556587,Fail,0,0.0,0,0.41786024,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
556308,Withdrawn,0,58.0,0,0.4625873,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
80886,Withdrawn,0,92.33333333333333,1,0.66660947,LULUS (1),GAGAL/MUNDUR (0)
680955,Pass,1,84.0,1,0.75727797,LULUS (1),LULUS (1)
637064,Fail,0,95.0,1,0.6591378,LULUS (1),GAGAL/MUNDUR (0)
28046,Fail,0,58.0,0,0.41785392,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
643591,Distinction,1,86.5,1,0.80057055,LULUS (1),LULUS (1)
590590,Withdrawn,0,0.0,0,0.4887655,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
545918,Withdrawn,0,86.0,1,0.5534193,LULUS (1),GAGAL/MUNDUR (0)
154073,Fail,0,65.0,0,0.45275304,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
590462,Withdrawn,0,76.66666666666667,1,0.6570569,LULUS (1),GAGAL/MUNDUR (0)
491966,Pass,1,80.6,1,0.59767073,LULUS (1),LULUS (1)
1450604,Withdrawn,0,83.0,1,0.6683303,LULUS (1),GAGAL/MUNDUR (0)
488680,Distinction,1,91.75,1,0.6017405,LULUS (1),LULUS (1)
594079,Withdrawn,0,0.0,0,0.022641052,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
440297,Withdrawn,0,0.0,0,0.22537531,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
2046628,Withdrawn,0,50.0,0,0.2585081,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
505499,Withdrawn,0,0.0,0,0.045547135,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
84299,Withdrawn,0,74.0,1,0.6554983,LULUS (1),GAGAL/MUNDUR (0)
531646,Fail,0,80.0,1,0.55920506,LULUS (1),GAGAL/MUNDUR (0)
628150,Withdrawn,0,0.0,0,0.019843915,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
494191,Withdrawn,0,0.0,0,0.027666852,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
601251,Pass,1,95.0,1,0.762865,LULUS (1),LULUS (1)
574871,Withdrawn,0,0.0,0,0.045547135,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
605914,Withdrawn,0,0.0,0,0.040490884,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
491688,Withdrawn,0,0.0,0,0.23071715,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
690319,Pass,1,100.0,1,0.68861085,LULUS (1),LULUS (1)
616862,Withdrawn,0,0.0,1,0.57219493,LULUS (1),GAGAL/MUNDUR (0)
675052,Withdrawn,0,0.0,0,0.19402982,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
635041,Pass,1,70.0,1,0.60240304,LULUS (1),LULUS (1)
645322,Withdrawn,0,85.0,1,0.70000905,LULUS (1),GAGAL/MUNDUR (0)
369208,Pass,1,73.0,1,0.58443147,LULUS (1),LULUS (1)
579340,Withdrawn,0,75.5,1,0.51061106,LULUS (1),GAGAL/MUNDUR (0)
404804,Pass,1,52.0,0,0.22773337,GAGAL/MUNDUR (0),LULUS (1)
2437051,Withdrawn,0,86.0,1,0.7230744,LULUS (1),GAGAL/MUNDUR (0)
601182,Pass,1,0.0,1,0.5994659,LULUS (1),LULUS (1)
485943,Withdrawn,0,0.0,0,0.034424152,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
649394,Withdrawn,0,0.0,0,0.0859433,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
571776,Pass,1,89.0,1,0.8400843,LULUS (1),LULUS (1)
2590948,Fail,0,78.0,1,0.6422452,LULUS (1),GAGAL/MUNDUR (0)
612381,Withdrawn,0,0.0,0,0.47592616,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
557285,Pass,1,58.0,0,0.4309179,GAGAL/MUNDUR (0),LULUS (1)
366479,Pass,1,100.0,1,0.7961934,LULUS (1),LULUS (1)
556523,Pass,1,0.0,0,0.3840476,GAGAL/MUNDUR (0),LULUS (1)
577279,Distinction,1,84.66666666666667,1,0.8422463,LULUS (1),LULUS (1)
647083,Fail,0,67.0,1,0.5213199,LULUS (1),GAGAL/MUNDUR (0)
606914,Withdrawn,0,1.0,1,0.5255897,LULUS (1),GAGAL/MUNDUR (0)
593594,Withdrawn,0,22.0,0,0.15399776,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
409930,Pass,1,81.0,1,0.73085326,LULUS (1),LULUS (1)
582709,Pass,1,100.0,1,0.538759,LULUS (1),LULUS (1)
558817,Withdrawn,0,0.0,0,0.35036376,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
625307,Withdrawn,0,0.0,0,0.05113249,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
627961,Fail,0,0.0,0,0.3429952,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
352083,Withdrawn,0,0.0,0,0.026232947,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
495276,Pass,1,0.0,0,0.49596938,GAGAL/MUNDUR (0),LULUS (1)
588942,Fail,0,0.0,0,0.336136,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
2366117,Distinction,1,100.0,1,0.88166577,LULUS (1),LULUS (1)
1332999,Distinction,1,76.0,1,0.5084156,LULUS (1),LULUS (1)
649036,Withdrawn,0,54.0,0,0.15208356,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
582460,Pass,1,100.0,1,0.6660654,LULUS (1),LULUS (1)
573969,Pass,1,85.0,1,0.52823645,LULUS (1),LULUS (1)
552313,Pass,1,87.0,1,0.5136113,LULUS (1),LULUS (1)
83219,Pass,1,60.0,1,0.5393292,LULUS (1),LULUS (1)
648654,Pass,1,0.0,0,0.37649384,GAGAL/MUNDUR (0),LULUS (1)
624376,Withdrawn,0,88.0,1,0.6888892,LULUS (1),GAGAL/MUNDUR (0)
526303,Pass,1,80.5,1,0.7356994,LULUS (1),LULUS (1)
498877,Withdrawn,0,0.0,0,0.3921987,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
577954,Withdrawn,0,50.0,0,0.2829188,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
535755,Pass,1,70.0,1,0.56508577,LULUS (1),LULUS (1)
551504,Fail,0,0.0,0,0.023043232,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
2468706,Distinction,1,93.0,1,0.7006317,LULUS (1),LULUS (1)
616794,Fail,0,74.0,0,0.4462333,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
1347253,Pass,1,0.0,0,0.4652169,GAGAL/MUNDUR (0),LULUS (1)
593346,Pass,1,1.0,1,0.5504175,LULUS (1),LULUS (1)
607337,Fail,0,0.0,0,0.31458372,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
365111,Withdrawn,0,39.0,0,0.17759788,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
425858,Fail,0,0.0,0,0.19531584,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
613790,Withdrawn,0,0.0,0,0.3006879,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
592924,Pass,1,86.0,1,0.7022562,LULUS (1),LULUS (1)
226747,Distinction,1,78.0,1,0.68601465,LULUS (1),LULUS (1)
600967,Fail,0,59.0,0,0.45770803,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
1897054,Pass,1,85.0,1,0.72238314,LULUS (1),LULUS (1)
412407,Pass,1,77.0,1,0.50569415,LULUS (1),LULUS (1)
629103,Fail,0,73.0,1,0.6769429,LULUS (1),GAGAL/MUNDUR (0)
656711,Pass,1,0.0,0,0.31012392,GAGAL/MUNDUR (0),LULUS (1)
543279,Fail,0,40.0,0,0.2435492,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
602398,Fail,0,60.0,1,0.5092835,LULUS (1),GAGAL/MUNDUR (0)
255310,Pass,1,70.0,1,0.7178656,LULUS (1),LULUS (1)
683091,Distinction,1,70.0,1,0.7104852,LULUS (1),LULUS (1)
545254,Pass,1,51.0,0,0.14428648,GAGAL/MUNDUR (0),LULUS (1)
380435,Distinction,1,94.0,1,0.9423335,LULUS (1),LULUS (1)
1782581,Fail,0,92.0,1,0.71481293,LULUS (1),GAGAL/MUNDUR (0)
527427,Pass,1,59.0,1,0.51922184,LULUS (1),LULUS (1)
682259,Fail,0,67.0,0,0.437369,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
690211,Pass,1,1.0,1,0.6384693,LULUS (1),LULUS (1)
52275,Fail,0,38.0,0,0.06764258,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
383694,Pass,1,83.0,1,0.5973285,LULUS (1),LULUS (1)
548981,Fail,0,63.0,1,0.5363205,LULUS (1),GAGAL/MUNDUR (0)
651728,Withdrawn,0,35.0,0,0.09045578,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
507257,Fail,0,0.0,0,0.12716216,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
2239650,Distinction,1,90.0,1,0.8687415,LULUS (1),LULUS (1)
699461,Pass,1,0.0,0,0.32710874,GAGAL/MUNDUR (0),LULUS (1)
646401,Withdrawn,0,0.0,0,0.21648505,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
574730,Fail,0,0.0,0,0.074970685,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
561913,Pass,1,86.5,1,0.79665595,LULUS (1),LULUS (1)
634106,Pass,1,73.0,1,0.67943615,LULUS (1),LULUS (1)
610449,Withdrawn,0,0.0,0,0.04633177,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
559823,Fail,0,54.5,0,0.16428064,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
627097,Pass,1,70.0,0,0.3944899,GAGAL/MUNDUR (0),LULUS (1)
554446,Pass,1,87.0,1,0.71524036,LULUS (1),LULUS (1)
2687644,Withdrawn,0,0.0,0,0.025302103,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
535833,Pass,1,59.0,0,0.34132227,GAGAL/MUNDUR (0),LULUS (1)
560114,Pass,1,61.75,1,0.53982383,LULUS (1),LULUS (1)
552648,Fail,0,92.0,1,0.6795654,LULUS (1),GAGAL/MUNDUR (0)
482556,Withdrawn,0,0.0,0,0.34424338,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
559612,Fail,0,76.0,1,0.7660236,LULUS (1),GAGAL/MUNDUR (0)
551058,Pass,1,86.0,1,0.8091927,LULUS (1),LULUS (1)
656159,Distinction,1,92.33333333333333,1,0.8185827,LULUS (1),LULUS (1)
496154,Withdrawn,0,75.0,1,0.7500538,LULUS (1),GAGAL/MUNDUR (0)
465764,Withdrawn,0,42.666666666666664,0,0.26277524,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
696711,Fail,0,0.0,0,0.04531352,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
306150,Withdrawn,0,0.0,1,0.5895963,LULUS (1),GAGAL/MUNDUR (0)
544499,Withdrawn,0,89.0,1,0.64592206,LULUS (1),GAGAL/MUNDUR (0)
375960,Pass,1,73.0,1,0.56126416,LULUS (1),LULUS (1)
563742,Withdrawn,0,68.0,0,0.45673776,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
549087,Fail,0,0.0,0,0.049579192,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
623948,Pass,1,80.0,1,0.7918844,LULUS (1),LULUS (1)
2562034,Pass,1,70.0,0,0.4354763,GAGAL/MUNDUR (0),LULUS (1)
586781,Distinction,1,97.25,1,0.9449965,LULUS (1),LULUS (1)
593845,Fail,0,0.0,0,0.12935977,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
345881,Pass,1,0.0,0,0.24647254,GAGAL/MUNDUR (0),LULUS (1)
447481,Pass,1,27.0,0,0.1370862,GAGAL/MUNDUR (0),LULUS (1)
419517,Distinction,1,91.0,1,0.5246265,LULUS (1),LULUS (1)
649325,Withdrawn,0,88.0,1,0.70409036,LULUS (1),GAGAL/MUNDUR (0)
611593,Distinction,1,97.33333333333333,1,0.9329552,LULUS (1),LULUS (1)
500395,Withdrawn,0,73.0,0,0.4651016,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
695915,Fail,0,89.0,0,0.42680842,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
683779,Pass,1,100.0,1,0.67500806,LULUS (1),LULUS (1)
614879,Withdrawn,0,0.0,0,0.019843915,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
534151,Withdrawn,0,0.0,0,0.24060637,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
623347,Distinction,1,90.5,1,0.7392898,LULUS (1),LULUS (1)
693098,Pass,1,100.0,1,0.61477697,LULUS (1),LULUS (1)
558484,Pass,1,98.0,1,0.8949729,LULUS (1),LULUS (1)
2471283,Pass,1,40.0,0,0.2302681,GAGAL/MUNDUR (0),LULUS (1)
546015,Withdrawn,0,0.0,0,0.048543137,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
404325,Fail,0,0.0,0,0.041808587,GAGAL/MUNDUR (0),GAGAL/MUNDUR (0)
397506,Pass,1,78.66666666666667,1,0.64158577,LULUS (1),LULUS (1)
633310,Pass,1,60.0,0,0.42715114,GAGAL/MUNDUR (0),LULUS (1)
